post_id,commentUser,timestamp,polarity,sentiment,keywords_comments,keywords_posts,interaction_sequence
814,ozzyandbetty,2021-02-12 13:29:58+00:00,-0.971,negative,"['would look', 'imagine', 'horrible', 'pants', 'would']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-12 13:29:58+0000', tz='UTC'), 'polarity': -0.971}]"
814,jose_lupa,2021-02-13 03:57:55+00:00,0.8721,positive,"['best ever', 'ever', 'best']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 814, 'timestamp': Timestamp('2021-02-13 03:57:55+0000', tz='UTC'), 'polarity': 0.8721}]"
806,awaru83,2021-02-13 07:45:05+00:00,0.8879,positive,"['wow fire', 'red_heart clapping_hands', 'fire red_heart', 'wow', 'clapping_hands']","['show', 'runway', 'prada', 'style', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 806, 'timestamp': Timestamp('2021-02-13 07:45:05+0000', tz='UTC'), 'polarity': 0.8879}]"
810,nyengyi1638,2021-02-17 14:30:27+00:00,0.1217,neutral,"['clement', 'red_heart']","['prada', 'ss', 'oldprada', 'miuccialover', 'mens']","[{'post_id': 810, 'timestamp': Timestamp('2021-02-17 14:30:27+0000', tz='UTC'), 'polarity': 0.1217}]"
815,stylebydanielarose,2021-03-07 22:11:27+00:00,0.0929,neutral,"['black_heart', 'black_heart fire', 'fire', 'black_heart black_heart', 'fire fire']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 815, 'timestamp': Timestamp('2021-03-07 22:11:27+0000', tz='UTC'), 'polarity': 0.0929}]"
763,a.cardenas,2021-03-10 18:05:29+00:00,0.2766,neutral,['classic'],"['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 18:05:29+0000', tz='UTC'), 'polarity': 0.2766}]"
763,valejillg,2021-03-10 18:46:24+00:00,0.8677,positive,"['fav', 'white_heart']","['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 18:46:24+0000', tz='UTC'), 'polarity': 0.8677}]"
763,juliahaggblom,2021-03-10 19:41:43+00:00,-0.1361,neutral,['drooling_face'],"['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 19:41:43+0000', tz='UTC'), 'polarity': -0.1361}]"
763,ruverco,2021-03-10 20:47:26+00:00,0.0762,neutral,['brown_heart'],"['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 20:47:26+0000', tz='UTC'), 'polarity': 0.0762}]"
763,pescegiampiero,2021-03-10 21:12:11+00:00,0.194,neutral,"['raising_hands', 'raising_hands raising_hands', 'raising_hands red_heart', 'red_heart']","['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 21:12:11+0000', tz='UTC'), 'polarity': 0.194}, {'post_id': 758, 'timestamp': Timestamp('2021-03-10 21:13:01+0000', tz='UTC'), 'polarity': 0.9343}]"
758,pescegiampiero,2021-03-10 21:13:01+00:00,0.9343,positive,"['best', 'prada best', 'shoes', 'prada', 'ever']","['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 763, 'timestamp': Timestamp('2021-03-10 21:12:11+0000', tz='UTC'), 'polarity': 0.194}, {'post_id': 758, 'timestamp': Timestamp('2021-03-10 21:13:01+0000', tz='UTC'), 'polarity': 0.9343}]"
758,_ariannenicole_,2021-03-10 22:14:57+00:00,0.0278,neutral,"['fire', 'fire fire']","['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 758, 'timestamp': Timestamp('2021-03-10 22:14:57+0000', tz='UTC'), 'polarity': 0.0278}]"
758,pckyperson,2021-03-16 13:11:54+00:00,0.7911,positive,"['mary', 'vintage', 'collection', 'prada', 'thank']","['accessories', 'fw', 'oldprada', 'miuccialover', 'itsallinthedetails']","[{'post_id': 758, 'timestamp': Timestamp('2021-03-16 13:11:54+0000', tz='UTC'), 'polarity': 0.7911}]"
752,theofficialjalexander,2021-04-13 18:39:47+00:00,0.9602,positive,"['shoe', 'still', 'man', 'love', 'smiling_face_with_heart eyes']","['fw', 'ssaw', 'magazine', 'aw', 'frederik']","[{'post_id': 752, 'timestamp': Timestamp('2021-04-13 18:39:47+0000', tz='UTC'), 'polarity': 0.9602}]"
752,taylorgavin,2021-04-13 18:58:12+00:00,-0.2543,neutral,[],"['fw', 'ssaw', 'magazine', 'aw', 'frederik']","[{'post_id': 752, 'timestamp': Timestamp('2021-04-13 18:58:12+0000', tz='UTC'), 'polarity': -0.2543}, {'post_id': 765, 'timestamp': Timestamp('2021-04-13 18:58:18+0000', tz='UTC'), 'polarity': 0.962}]"
765,taylorgavin,2021-04-13 18:58:18+00:00,0.962,positive,"['season', 'ever', 'best']","['fw', 'ssaw', 'magazine', 'aw', 'frederik']","[{'post_id': 752, 'timestamp': Timestamp('2021-04-13 18:58:12+0000', tz='UTC'), 'polarity': -0.2543}, {'post_id': 765, 'timestamp': Timestamp('2021-04-13 18:58:18+0000', tz='UTC'), 'polarity': 0.962}]"
765,dorotheaorsini,2021-04-13 19:16:09+00:00,0.0762,neutral,['brown_heart'],"['fw', 'ssaw', 'magazine', 'aw', 'frederik']","[{'post_id': 765, 'timestamp': Timestamp('2021-04-13 19:16:09+0000', tz='UTC'), 'polarity': 0.0762}]"
761,gregmyl,2021-05-06 22:09:16+00:00,0.5445,positive,"['prada', 'top', 'fire']","['accessories', 'ss', 'oldprada', 'miuccialover', 'stillobsessed', 'colors']","[{'post_id': 761, 'timestamp': Timestamp('2021-05-06 22:09:16+0000', tz='UTC'), 'polarity': 0.5445}]"
757,venicewytch,2021-05-07 04:41:12+00:00,0.8912,positive,"['raising_hands', 'raising_hands raising_hands', 'blocking', 'color']","['accessories', 'ss', 'oldprada', 'miuccialover', 'stillobsessed', 'colors']","[{'post_id': 757, 'timestamp': Timestamp('2021-05-07 04:41:12+0000', tz='UTC'), 'polarity': 0.8912}]"
757,alantrowe,2021-05-07 05:24:50+00:00,0.2216,neutral,"['heart_suit', 'heart_suit heart_suit']","['accessories', 'ss', 'oldprada', 'miuccialover', 'stillobsessed', 'colors']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
761,marc_rego,2021-05-07 07:47:33+00:00,0.6361,positive,"['thinking_face', 'thinking', 'smiling_face_with_tear', 'prada']","['accessories', 'ss', 'oldprada', 'miuccialover', 'stillobsessed', 'colors']","[{'post_id': 761, 'timestamp': Timestamp('2021-05-07 07:47:33+0000', tz='UTC'), 'polarity': 0.6361}]"
