commentUser,comment_count,polarity,keywords_comments,interaction_sequence,posts_sequence
baliblackbook.official,9,0.56,"['gorgeous', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands'] ['gorgeous', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['look', 'smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands'] ['beautiful', 'smiling_face_with_hearteyes', 'amazing', 'clapping_hands', 'de']","[{'post_id': 211, 'timestamp': '2023-05-10 05:31:23+00:00', 'polarity': 0.67}, {'post_id': 207, 'timestamp': '2023-05-10 05:31:32+00:00', 'polarity': 0.24}, {'post_id': 183, 'timestamp': '2023-05-22 06:29:39+00:00', 'polarity': 0.8600000000000001}, {'post_id': 188, 'timestamp': '2023-05-22 06:29:45+00:00', 'polarity': 0.31}, {'post_id': 180, 'timestamp': '2023-05-22 06:30:05+00:00', 'polarity': 0.56}, {'post_id': 182, 'timestamp': '2023-05-22 06:30:16+00:00', 'polarity': 0.5}, {'post_id': 185, 'timestamp': '2023-05-22 06:30:29+00:00', 'polarity': 0.8600000000000001}, {'post_id': 155, 'timestamp': '2023-05-30 03:52:37+00:00', 'polarity': 0.54}, {'post_id': 154, 'timestamp': '2023-05-30 03:52:47+00:00', 'polarity': 0.5}]","[211, 207, 183, 188, 180, 182, 185, 155, 154]"
balu__2k3,1,0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 32, 'timestamp': '2023-05-18 20:39:42+00:00', 'polarity': 0.16}]",[32]
bandhu_eu,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 312, 'timestamp': '2022-10-31 08:19:01+00:00', 'polarity': 0.0}]",[312]
banqueiroarthuresvael,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 260, 'timestamp': '2022-09-27 21:55:58+00:00', 'polarity': 0.0}]",[260]
banso73,1,0.32,"['smiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 46, 'timestamp': '2023-06-06 18:33:24+00:00', 'polarity': 0.32}]",[46]
barasko99,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 479, 'timestamp': '2023-06-07 12:28:19+00:00', 'polarity': 0.0}]",[479]
barbara.giganti,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 340, 'timestamp': '2023-03-21 11:49:31+00:00', 'polarity': 0.0}]",[340]
barbaraasoaresss,3,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 776, 'timestamp': '2023-05-06 00:33:58+00:00', 'polarity': 0.0}, {'post_id': 780, 'timestamp': '2023-05-08 04:38:48+00:00', 'polarity': 0.0}, {'post_id': 790, 'timestamp': '2023-05-11 17:41:46+00:00', 'polarity': 0.0}]","[776, 780, 790]"
barbaramalewicz,1,0.46,"['love', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 163, 'timestamp': '2023-05-28 12:22:18+00:00', 'polarity': 0.46}]",[163]
barbinha.enf,1,0.24,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 61, 'timestamp': '2023-05-29 00:52:10+00:00', 'polarity': 0.24}]",[61]
bartackagency,1,0.782,"['love', 'fire', 'amazing', 'beautiful', 'clapping_hands']","[{'post_id': 642, 'timestamp': '2023-05-10 08:23:14+00:00', 'polarity': 0.782}]",[642]
bask_suncare,1,0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 246, 'timestamp': '2023-05-03 04:32:51+00:00', 'polarity': 0.16}]",[246]
bassbomben_morris,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 186, 'timestamp': '2023-05-17 12:41:06+00:00', 'polarity': 0.24}]",[186]
bbbe991,1,-0.1,"['please', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 234, 'timestamp': '2023-05-22 00:13:03+00:00', 'polarity': -0.1}]",[234]
bbsnapshot,2,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 448, 'timestamp': '2023-05-03 10:13:05+00:00', 'polarity': 0.08}, {'post_id': 448, 'timestamp': '2023-05-03 10:13:10+00:00', 'polarity': 0.08}]","[448, 448]"
bcarven75,1,0.54,"['love', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 10, 'timestamp': '2023-06-02 09:32:02+00:00', 'polarity': 0.54}]",[10]
be_a_giver,1,0.34,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 32, 'timestamp': '2023-05-18 21:59:32+00:00', 'polarity': 0.34}]",[32]
beachhaus_swim,1,0.7,"['gorgeous', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 698, 'timestamp': '2023-05-05 15:25:51+00:00', 'polarity': 0.7}]",[698]
beamblr,1,0.16,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 552, 'timestamp': '2023-04-14 10:27:26+00:00', 'polarity': 0.16}]",[552]
bear__022,1,0.39,"['look', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 759, 'timestamp': '2023-05-25 13:41:21+00:00', 'polarity': 0.39}]",[759]
beartmedina,1,0.16,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 380, 'timestamp': '2023-03-23 01:51:51+00:00', 'polarity': 0.16}]",[380]
beatrice.gutu,4,0.28,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 336, 'timestamp': '2022-10-11 09:56:10+00:00', 'polarity': 0.24}, {'post_id': 304, 'timestamp': '2022-11-24 11:00:44+00:00', 'polarity': 0.24}, {'post_id': 297, 'timestamp': '2022-12-11 16:28:51+00:00', 'polarity': 0.4800000000000001}, {'post_id': 62, 'timestamp': '2023-04-27 15:00:07+00:00', 'polarity': 0.16}]","[336, 304, 297, 62]"
beatricerossaro,2,0.28,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 398, 'timestamp': '2023-06-08 18:10:46+00:00', 'polarity': 0.24}, {'post_id': 397, 'timestamp': '2023-06-08 18:10:57+00:00', 'polarity': 0.32}]","[398, 397]"
beatriz_de_larrazabal,1,0.16,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 45, 'timestamp': '2023-06-04 00:13:16+00:00', 'polarity': 0.16}]",[45]
beauteactive,1,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 161, 'timestamp': '2023-06-05 10:37:14+00:00', 'polarity': 0.08}]",[161]
beautylife859,1,0.32,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 625, 'timestamp': '2023-05-08 15:46:36+00:00', 'polarity': 0.32}]",[625]
bebeslo_6,1,-1.6,"['no', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 481, 'timestamp': '2023-06-03 22:20:38+00:00', 'polarity': -1.6}]",[481]
beccaloren,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 343, 'timestamp': '2023-05-04 01:30:13+00:00', 'polarity': 0.0}]",[343]
beccapaigebrown,1,-0.26,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 471, 'timestamp': '2023-06-06 18:56:38+00:00', 'polarity': -0.26}]",[471]
bechic_qr,1,0.485,"['beautiful', 'amazing', 'clapping_hands', 'de', 'fire']","[{'post_id': 428, 'timestamp': '2023-06-04 05:54:54+00:00', 'polarity': 0.485}]",[428]
becky_rj,1,0.1275,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 365, 'timestamp': '2023-05-14 18:37:45+00:00', 'polarity': 0.1275}]",[365]
bee.alvez,1,0.16,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 717, 'timestamp': '2022-12-04 13:28:50+00:00', 'polarity': 0.16}]",[717]
beeluxelondon,1,0.2,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 189, 'timestamp': '2023-06-03 17:23:05+00:00', 'polarity': 0.2}]",[189]
beetekon,1,0.16,"['red_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 438, 'timestamp': '2023-05-24 08:38:02+00:00', 'polarity': 0.16}]",[438]
begraj.karela,1,0.75,"['fire', 'beautiful', 'amazing', 'clapping_hands', 'de']","[{'post_id': 264, 'timestamp': '2023-04-28 18:59:22+00:00', 'polarity': 0.75}]",[264]
behappy_moda,1,0.32,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 409, 'timestamp': '2023-06-07 23:50:43+00:00', 'polarity': 0.32}]",[409]
behnam_4225__perspolis,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 175, 'timestamp': '2023-06-06 16:34:29+00:00', 'polarity': 0.0}]",[175]
beije_store,1,0.32,"['smiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 103, 'timestamp': '2023-06-04 09:28:42+00:00', 'polarity': 0.32}]",[103]
