commentUser,interaction_sequence,posts_sequence,sequence_length
dawidtomaszewski,"[{'post_id': 748, 'timestamp': '2023-04-24 08:10:11+00:00', 'polarity': 0.7817}, {'post_id': 585, 'timestamp': '2023-05-02 16:30:09+00:00', 'polarity': 0.7328}, {'post_id': 186, 'timestamp': '2023-05-16 15:21:52+00:00', 'polarity': 0.7328}, {'post_id': 526, 'timestamp': '2023-05-17 06:33:26+00:00', 'polarity': 0.7328}, {'post_id': 526, 'timestamp': '2023-05-17 06:35:58+00:00', 'polarity': 0.7817}, {'post_id': 526, 'timestamp': '2023-05-19 12:53:24+00:00', 'polarity': 0.7817}, {'post_id': 526, 'timestamp': '2023-05-19 13:02:32+00:00', 'polarity': 0.6877}, {'post_id': 436, 'timestamp': '2023-06-01 14:45:30+00:00', 'polarity': 0.8343}, {'post_id': 41, 'timestamp': '2023-06-06 10:21:54+00:00', 'polarity': 0.9488}]","[748, 585, 186, 526, 526, 526, 526, 436, 41]",9
derome_official,"[{'post_id': 579, 'timestamp': '2023-06-05 06:00:58+00:00', 'polarity': -0.0665}, {'post_id': 697, 'timestamp': '2023-06-06 07:45:04+00:00', 'polarity': -0.0665}, {'post_id': 394, 'timestamp': '2023-06-07 08:15:56+00:00', 'polarity': 0.1033}]","[579, 697, 394]",3
dewiroberts50,"[{'post_id': 237, 'timestamp': '2023-05-04 23:51:13+00:00', 'polarity': -0.097}, {'post_id': 237, 'timestamp': '2023-05-04 23:52:46+00:00', 'polarity': -0.379}, {'post_id': 237, 'timestamp': '2023-05-04 23:53:19+00:00', 'polarity': -0.701}, {'post_id': 157, 'timestamp': '2023-05-05 00:01:30+00:00', 'polarity': -0.0929}]","[237, 237, 237, 157]",4
donatellodesigns,"[{'post_id': 712, 'timestamp': '2023-03-14 06:57:08+00:00', 'polarity': 0.728}, {'post_id': 572, 'timestamp': '2023-03-22 05:22:24+00:00', 'polarity': 0.728}, {'post_id': 571, 'timestamp': '2023-04-05 03:08:49+00:00', 'polarity': 0.728}, {'post_id': 571, 'timestamp': '2023-04-05 05:55:25+00:00', 'polarity': 0.728}, {'post_id': 561, 'timestamp': '2023-04-12 05:04:10+00:00', 'polarity': 0.728}, {'post_id': 488, 'timestamp': '2023-05-13 00:40:38+00:00', 'polarity': 0.728}]","[712, 572, 571, 571, 561, 488]",6
dorothyhiggins278,"[{'post_id': 530, 'timestamp': '2023-05-23 00:22:45+00:00', 'polarity': -0.0321}, {'post_id': 526, 'timestamp': '2023-05-23 00:23:41+00:00', 'polarity': 0.2532}, {'post_id': 434, 'timestamp': '2023-06-01 05:02:16+00:00', 'polarity': 0.6624}, {'post_id': 436, 'timestamp': '2023-06-01 05:02:52+00:00', 'polarity': 0.728}]","[530, 526, 434, 436]",4
downeymagda,"[{'post_id': 318, 'timestamp': '2022-04-22 05:13:00+00:00', 'polarity': 0.8514}, {'post_id': 260, 'timestamp': '2022-05-20 05:38:10+00:00', 'polarity': 0.9671}, {'post_id': 166, 'timestamp': '2023-04-22 02:04:18+00:00', 'polarity': 0.8402}]","[318, 260, 166]",3
dudalina,"[{'post_id': 772, 'timestamp': '2023-05-02 13:50:10+00:00', 'polarity': -0.0443}, {'post_id': 776, 'timestamp': '2023-05-06 12:40:43+00:00', 'polarity': -0.0171}, {'post_id': 774, 'timestamp': '2023-05-16 20:36:08+00:00', 'polarity': 0.0103}, {'post_id': 780, 'timestamp': '2023-05-18 14:56:41+00:00', 'polarity': -0.0242}, {'post_id': 727, 'timestamp': '2023-05-18 17:03:17+00:00', 'polarity': 0.0303}, {'post_id': 632, 'timestamp': '2023-05-22 13:45:11+00:00', 'polarity': -0.0151}, {'post_id': 613, 'timestamp': '2023-05-22 13:47:25+00:00', 'polarity': 0.0149}, {'post_id': 778, 'timestamp': '2023-05-25 12:47:37+00:00', 'polarity': 0.0077}]","[772, 776, 774, 780, 727, 632, 613, 778]",8
dudanillo,"[{'post_id': 727, 'timestamp': '2023-05-18 12:26:00+00:00', 'polarity': 0.7867}, {'post_id': 727, 'timestamp': '2023-05-18 12:26:02+00:00', 'polarity': 0.2744}, {'post_id': 727, 'timestamp': '2023-05-18 12:26:04+00:00', 'polarity': 0.3024}]","[727, 727, 727]",3
eatstyleamore,"[{'post_id': 353, 'timestamp': '2022-11-22 20:46:37+00:00', 'polarity': 0.9849}, {'post_id': 315, 'timestamp': '2023-01-22 03:43:41+00:00', 'polarity': 0.9811}, {'post_id': 250, 'timestamp': '2023-02-09 21:38:42+00:00', 'polarity': 0.9376}]","[353, 315, 250]",3
ellabroek,"[{'post_id': 332, 'timestamp': '2022-10-25 06:10:15+00:00', 'polarity': 0.0803}, {'post_id': 334, 'timestamp': '2022-10-27 20:11:14+00:00', 'polarity': 0.0278}, {'post_id': 275, 'timestamp': '2022-12-28 21:09:47+00:00', 'polarity': 0.0245}, {'post_id': 196, 'timestamp': '2023-02-22 17:14:34+00:00', 'polarity': 0.2749}, {'post_id': 68, 'timestamp': '2023-03-27 07:40:35+00:00', 'polarity': 0.107}, {'post_id': 17, 'timestamp': '2023-05-11 05:28:38+00:00', 'polarity': 0.1997}]","[332, 334, 275, 196, 68, 17]",6
