commentUser,interaction_sequence,posts_sequence,sequence_length
myexpergefactor,"[{'post_id': 735, 'timestamp': '2023-05-12 14:59:48+00:00', 'polarity': 0.977}, {'post_id': 739, 'timestamp': '2023-05-12 15:00:56+00:00', 'polarity': 0.9849}, {'post_id': 736, 'timestamp': '2023-05-12 15:02:28+00:00', 'polarity': 0.9849}, {'post_id': 732, 'timestamp': '2023-05-13 04:13:37+00:00', 'polarity': 0.9901}, {'post_id': 730, 'timestamp': '2023-05-13 04:15:33+00:00', 'polarity': 0.9893}]","[735, 739, 736, 732, 730]",5
neidecolanieri,"[{'post_id': 498, 'timestamp': '2023-06-09 02:08:38+00:00', 'polarity': 0.0803}, {'post_id': 498, 'timestamp': '2023-06-09 02:08:52+00:00', 'polarity': 0.0803}, {'post_id': 498, 'timestamp': '2023-06-09 02:08:54+00:00', 'polarity': 0.0803}]","[498, 498, 498]",3
nelson.cada,"[{'post_id': 485, 'timestamp': '2023-06-07 21:21:07+00:00', 'polarity': 0.9449}, {'post_id': 485, 'timestamp': '2023-06-07 21:24:39+00:00', 'polarity': 0.9871}, {'post_id': 485, 'timestamp': '2023-06-07 21:26:40+00:00', 'polarity': 0.9697}]","[485, 485, 485]",3
neslihande,"[{'post_id': 206, 'timestamp': '2023-04-27 22:18:52+00:00', 'polarity': 0.7074}, {'post_id': 299, 'timestamp': '2023-04-27 22:19:08+00:00', 'polarity': 0.728}, {'post_id': 301, 'timestamp': '2023-04-27 22:19:38+00:00', 'polarity': 0.728}, {'post_id': 313, 'timestamp': '2023-04-27 22:19:52+00:00', 'polarity': 0.728}]","[206, 299, 301, 313]",4
nesrine_lila,"[{'post_id': 555, 'timestamp': '2023-04-23 06:26:29+00:00', 'polarity': -0.0771}, {'post_id': 690, 'timestamp': '2023-05-08 20:37:16+00:00', 'polarity': -0.0035}, {'post_id': 690, 'timestamp': '2023-05-09 07:34:07+00:00', 'polarity': -0.0562}]","[555, 690, 690]",3
neudorferdeidamia,"[{'post_id': 664, 'timestamp': '2023-05-26 17:22:59+00:00', 'polarity': 0.1033}, {'post_id': 697, 'timestamp': '2023-06-05 22:24:37+00:00', 'polarity': 0.1033}, {'post_id': 456, 'timestamp': '2023-06-05 22:24:53+00:00', 'polarity': 0.1033}, {'post_id': 458, 'timestamp': '2023-06-05 22:25:07+00:00', 'polarity': 0.1033}, {'post_id': 394, 'timestamp': '2023-06-07 20:36:09+00:00', 'polarity': 0.1033}, {'post_id': 453, 'timestamp': '2023-06-07 20:37:24+00:00', 'polarity': 0.1033}]","[664, 697, 456, 458, 394, 453]",6
nevermindpepin,"[{'post_id': 268, 'timestamp': '2023-04-23 11:41:30+00:00', 'polarity': -0.0566}, {'post_id': 264, 'timestamp': '2023-04-23 11:42:38+00:00', 'polarity': -0.0188}, {'post_id': 48, 'timestamp': '2023-05-26 23:45:23+00:00', 'polarity': 0.2744}]","[268, 264, 48]",3
nicole_huisman,"[{'post_id': 312, 'timestamp': '2022-10-31 12:51:43+00:00', 'polarity': -0.0131}, {'post_id': 279, 'timestamp': '2023-01-01 11:17:14+00:00', 'polarity': 0.9279}, {'post_id': 367, 'timestamp': '2023-05-18 18:00:33+00:00', 'polarity': 0.9833}]","[312, 279, 367]",3
odiemebo,"[{'post_id': 125, 'timestamp': '2023-04-29 16:48:08+00:00', 'polarity': 0.3098}, {'post_id': 125, 'timestamp': '2023-04-29 16:53:41+00:00', 'polarity': 0.9652}, {'post_id': 126, 'timestamp': '2023-05-05 03:32:51+00:00', 'polarity': 0.2696}]","[125, 125, 126]",3
onlinemarketing779b,"[{'post_id': 427, 'timestamp': '2023-06-05 13:30:30+00:00', 'polarity': 0.1033}, {'post_id': 435, 'timestamp': '2023-06-05 13:30:41+00:00', 'polarity': 0.1033}, {'post_id': 540, 'timestamp': '2023-06-05 13:30:57+00:00', 'polarity': 0.1033}]","[427, 435, 540]",3
oreo.3x,"[{'post_id': 733, 'timestamp': '2023-05-13 06:25:35+00:00', 'polarity': -0.168}, {'post_id': 733, 'timestamp': '2023-05-13 06:26:23+00:00', 'polarity': -0.2997}, {'post_id': 733, 'timestamp': '2023-05-13 06:26:24+00:00', 'polarity': 0.0748}]","[733, 733, 733]",3
p3t1t_pr1nc3,"[{'post_id': 578, 'timestamp': '2023-06-02 13:50:24+00:00', 'polarity': 0.2106}, {'post_id': 584, 'timestamp': '2023-06-02 13:52:01+00:00', 'polarity': -0.319}, {'post_id': 581, 'timestamp': '2023-06-02 13:53:19+00:00', 'polarity': 0.0197}]","[578, 584, 581]",3
parislifeandsex,"[{'post_id': 590, 'timestamp': '2023-04-20 20:36:38+00:00', 'polarity': -0.0912}, {'post_id': 598, 'timestamp': '2023-04-21 11:33:53+00:00', 'polarity': 0.4076}, {'post_id': 592, 'timestamp': '2023-04-21 11:34:25+00:00', 'polarity': 0.4076}]","[590, 598, 592]",3
pavdale1,"[{'post_id': 363, 'timestamp': '2023-05-14 15:59:29+00:00', 'polarity': 0.4199}, {'post_id': 369, 'timestamp': '2023-05-17 18:28:32+00:00', 'polarity': 0.9558}, {'post_id': 360, 'timestamp': '2023-05-17 18:33:18+00:00', 'polarity': 0.633}]","[363, 369, 360]",3
pd203,"[{'post_id': 254, 'timestamp': '2023-02-06 19:04:19+00:00', 'polarity': 0.9884}, {'post_id': 250, 'timestamp': '2023-02-09 20:23:45+00:00', 'polarity': 0.873}, {'post_id': 94, 'timestamp': '2023-03-13 19:18:26+00:00', 'polarity': -0.5988}, {'post_id': 32, 'timestamp': '2023-05-18 18:41:49+00:00', 'polarity': 0.9358}, {'post_id': 29, 'timestamp': '2023-05-30 00:32:06+00:00', 'polarity': -0.1815}]","[254, 250, 94, 32, 29]",5
plusagdesign,"[{'post_id': 702, 'timestamp': '2023-03-12 00:48:51+00:00', 'polarity': -0.0356}, {'post_id': 494, 'timestamp': '2023-05-03 00:52:50+00:00', 'polarity': 0.0941}, {'post_id': 490, 'timestamp': '2023-05-06 23:46:19+00:00', 'polarity': 0.2019}]","[702, 494, 490]",3
rachelleayoung,"[{'post_id': 68, 'timestamp': '2023-03-27 11:38:15+00:00', 'polarity': 0.0486}, {'post_id': 20, 'timestamp': '2023-05-07 09:56:40+00:00', 'polarity': 0.982}, {'post_id': 40, 'timestamp': '2023-05-23 10:20:01+00:00', 'polarity': 0.1745}]","[68, 20, 40]",3
rafaelyau,"[{'post_id': 560, 'timestamp': '2023-04-08 11:56:06+00:00', 'polarity': 0.9629}, {'post_id': 457, 'timestamp': '2023-04-24 00:07:13+00:00', 'polarity': 0.9751}, {'post_id': 436, 'timestamp': '2023-06-02 00:28:38+00:00', 'polarity': 0.9642}]","[560, 457, 436]",3
ralleyalex90,"[{'post_id': 593, 'timestamp': '2023-05-30 01:58:24+00:00', 'polarity': 0.8812}, {'post_id': 582, 'timestamp': '2023-05-30 01:58:49+00:00', 'polarity': 0.9683}, {'post_id': 581, 'timestamp': '2023-06-01 03:44:33+00:00', 'polarity': 0.9456}, {'post_id': 581, 'timestamp': '2023-06-01 03:44:39+00:00', 'polarity': 0.8812}, {'post_id': 581, 'timestamp': '2023-06-01 03:44:41+00:00', 'polarity': 0.2744}, {'post_id': 585, 'timestamp': '2023-06-01 03:44:50+00:00', 'polarity': 0.2744}, {'post_id': 648, 'timestamp': '2023-06-01 03:45:15+00:00', 'polarity': 0.9456}, {'post_id': 648, 'timestamp': '2023-06-01 03:45:16+00:00', 'polarity': 0.1033}]","[593, 582, 581, 581, 581, 585, 648, 648]",8
raoulsebastianursachi,"[{'post_id': 291, 'timestamp': '2023-04-22 09:14:20+00:00', 'polarity': 0.1033}, {'post_id': 271, 'timestamp': '2023-04-22 09:14:28+00:00', 'polarity': 0.1033}, {'post_id': 288, 'timestamp': '2023-04-22 09:15:20+00:00', 'polarity': 0.1033}, {'post_id': 277, 'timestamp': '2023-04-22 09:15:26+00:00', 'polarity': 0.1033}]","[291, 271, 288, 277]",4
rashawnglass,"[{'post_id': 479, 'timestamp': '2023-06-07 08:15:09+00:00', 'polarity': -0.1133}, {'post_id': 489, 'timestamp': '2023-06-07 08:32:34+00:00', 'polarity': -0.1262}, {'post_id': 412, 'timestamp': '2023-06-07 09:23:56+00:00', 'polarity': -0.114}]","[479, 489, 412]",3
realydigital,"[{'post_id': 455, 'timestamp': '2023-05-10 16:45:16+00:00', 'polarity': 0.2706}, {'post_id': 522, 'timestamp': '2023-05-12 19:32:58+00:00', 'polarity': 0.1169}, {'post_id': 526, 'timestamp': '2023-05-13 23:10:21+00:00', 'polarity': 0.1416}, {'post_id': 442, 'timestamp': '2023-05-25 19:14:50+00:00', 'polarity': -0.0541}, {'post_id': 438, 'timestamp': '2023-05-28 02:56:23+00:00', 'polarity': 0.0309}, {'post_id': 436, 'timestamp': '2023-05-31 21:24:45+00:00', 'polarity': -0.0127}]","[455, 522, 526, 442, 438, 436]",6
reshamsingh9548,"[{'post_id': 224, 'timestamp': '2023-06-06 16:04:16+00:00', 'polarity': 0.0495}, {'post_id': 240, 'timestamp': '2023-06-06 16:05:04+00:00', 'polarity': 0.039}, {'post_id': 323, 'timestamp': '2023-06-06 16:06:12+00:00', 'polarity': 0.2481}]","[224, 240, 323]",3
rhyancaminske,"[{'post_id': 353, 'timestamp': '2022-11-25 19:34:32+00:00', 'polarity': 0.9905}, {'post_id': 352, 'timestamp': '2022-12-15 00:33:40+00:00', 'polarity': 0.6368}, {'post_id': 352, 'timestamp': '2022-12-15 00:34:00+00:00', 'polarity': 0.2416}, {'post_id': 350, 'timestamp': '2023-01-01 16:45:09+00:00', 'polarity': 0.5094}, {'post_id': 325, 'timestamp': '2023-01-03 14:00:56+00:00', 'polarity': 0.8482}, {'post_id': 317, 'timestamp': '2023-01-08 16:44:18+00:00', 'polarity': 0.4295}, {'post_id': 321, 'timestamp': '2023-01-08 16:46:23+00:00', 'polarity': 0.9859}, {'post_id': 316, 'timestamp': '2023-01-13 10:29:32+00:00', 'polarity': 0.9832}, {'post_id': 257, 'timestamp': '2023-01-27 23:06:39+00:00', 'polarity': 0.9684}, {'post_id': 257, 'timestamp': '2023-01-27 23:07:07+00:00', 'polarity': 0.8838}, {'post_id': 259, 'timestamp': '2023-01-29 17:27:04+00:00', 'polarity': 0.8999}, {'post_id': 254, 'timestamp': '2023-02-09 20:13:59+00:00', 'polarity': 0.3702}, {'post_id': 252, 'timestamp': '2023-02-19 12:10:35+00:00', 'polarity': 0.8874}, {'post_id': 98, 'timestamp': '2023-02-19 12:13:08+00:00', 'polarity': 0.9339}, {'post_id': 98, 'timestamp': '2023-02-19 12:13:19+00:00', 'polarity': 0.9779}, {'post_id': 97, 'timestamp': '2023-02-28 20:53:34+00:00', 'polarity': 0.0368}, {'post_id': 96, 'timestamp': '2023-03-04 17:00:16+00:00', 'polarity': 0.1708}, {'post_id': 94, 'timestamp': '2023-03-15 19:57:38+00:00', 'polarity': -0.1345}, {'post_id': 28, 'timestamp': '2023-05-16 18:05:32+00:00', 'polarity': 0.9831}, {'post_id': 27, 'timestamp': '2023-06-03 20:41:34+00:00', 'polarity': 0.9475}]","[353, 352, 352, 350, 325, 317, 321, 316, 257, 257, 259, 254, 252, 98, 98, 97, 96, 94, 28, 27]",20
ricardofbdeoliveira,"[{'post_id': 556, 'timestamp': '2023-06-06 13:38:40+00:00', 'polarity': -0.0451}, {'post_id': 556, 'timestamp': '2023-06-06 13:38:46+00:00', 'polarity': 0.0554}, {'post_id': 556, 'timestamp': '2023-06-06 13:39:03+00:00', 'polarity': 0.1102}]","[556, 556, 556]",3
rising7_official,"[{'post_id': 455, 'timestamp': '2023-06-07 09:56:17+00:00', 'polarity': 0.1033}, {'post_id': 571, 'timestamp': '2023-06-07 09:56:55+00:00', 'polarity': 0.1033}, {'post_id': 565, 'timestamp': '2023-06-07 09:57:05+00:00', 'polarity': 0.1033}]","[455, 571, 565]",3
robbalmeida,"[{'post_id': 654, 'timestamp': '2023-02-19 20:15:52+00:00', 'polarity': 0.7867}, {'post_id': 509, 'timestamp': '2023-04-23 15:38:51+00:00', 'polarity': 0.7867}, {'post_id': 535, 'timestamp': '2023-04-24 12:24:31+00:00', 'polarity': 0.7324}]","[654, 509, 535]",3
royallionparfum,"[{'post_id': 240, 'timestamp': '2023-06-06 05:28:19+00:00', 'polarity': 0.1033}, {'post_id': 251, 'timestamp': '2023-06-06 05:28:27+00:00', 'polarity': 0.1033}, {'post_id': 375, 'timestamp': '2023-06-06 05:28:39+00:00', 'polarity': 0.1033}, {'post_id': 383, 'timestamp': '2023-06-06 05:28:58+00:00', 'polarity': 0.728}, {'post_id': 390, 'timestamp': '2023-06-06 05:29:05+00:00', 'polarity': 0.728}, {'post_id': 225, 'timestamp': '2023-06-06 05:41:17+00:00', 'polarity': 0.1033}, {'post_id': 323, 'timestamp': '2023-06-06 05:41:26+00:00', 'polarity': 0.1033}, {'post_id': 387, 'timestamp': '2023-06-06 05:41:42+00:00', 'polarity': 0.1033}]","[240, 251, 375, 383, 390, 225, 323, 387]",8
rubydiachi,"[{'post_id': 578, 'timestamp': '2023-05-24 06:11:34+00:00', 'polarity': -0.3058}, {'post_id': 580, 'timestamp': '2023-05-24 06:11:48+00:00', 'polarity': -0.3277}, {'post_id': 593, 'timestamp': '2023-05-24 06:13:34+00:00', 'polarity': -0.4793}, {'post_id': 585, 'timestamp': '2023-05-24 06:14:06+00:00', 'polarity': 0.0302}]","[578, 580, 593, 585]",4
rubyfranken,"[{'post_id': 304, 'timestamp': '2022-11-24 18:49:52+00:00', 'polarity': 0.9528}, {'post_id': 68, 'timestamp': '2023-03-27 12:21:22+00:00', 'polarity': 0.2898}, {'post_id': 8, 'timestamp': '2023-06-03 06:26:51+00:00', 'polarity': 0.2898}]","[304, 68, 8]",3
ruxx_marie,"[{'post_id': 319, 'timestamp': '2023-03-29 19:41:52+00:00', 'polarity': 0.1033}, {'post_id': 320, 'timestamp': '2023-03-29 19:42:20+00:00', 'polarity': 0.2744}, {'post_id': 222, 'timestamp': '2023-04-29 17:01:32+00:00', 'polarity': 0.1033}, {'post_id': 213, 'timestamp': '2023-05-10 20:05:30+00:00', 'polarity': 0.1033}, {'post_id': 179, 'timestamp': '2023-05-14 13:26:20+00:00', 'polarity': 0.1033}]","[319, 320, 222, 213, 179]",5
sabrinafidalgoo,"[{'post_id': 631, 'timestamp': '2023-02-10 11:32:30+00:00', 'polarity': 0.9862}, {'post_id': 628, 'timestamp': '2023-02-18 18:39:07+00:00', 'polarity': 0.8747}, {'post_id': 553, 'timestamp': '2023-03-03 18:13:31+00:00', 'polarity': 0.7702}]","[631, 628, 553]",3
sabsjulie,"[{'post_id': 263, 'timestamp': '2023-04-21 19:58:31+00:00', 'polarity': 0.4942}, {'post_id': 283, 'timestamp': '2023-04-21 19:59:48+00:00', 'polarity': 0.9878}, {'post_id': 271, 'timestamp': '2023-04-21 20:00:46+00:00', 'polarity': 0.9864}, {'post_id': 285, 'timestamp': '2023-04-21 20:01:54+00:00', 'polarity': 0.2699}, {'post_id': 280, 'timestamp': '2023-04-21 20:02:08+00:00', 'polarity': 0.9297}, {'post_id': 184, 'timestamp': '2023-05-13 10:54:03+00:00', 'polarity': 0.7159}]","[263, 283, 271, 285, 280, 184]",6
sagrandm,"[{'post_id': 484, 'timestamp': '2023-06-06 20:50:48+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:48+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:48+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:48+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:48+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:49+00:00', 'polarity': -0.0665}, {'post_id': 484, 'timestamp': '2023-06-06 20:50:49+00:00', 'polarity': -0.0665}]","[484, 484, 484, 484, 484, 484, 484]",7
samolsorensoren,"[{'post_id': 168, 'timestamp': '2023-06-06 12:46:48+00:00', 'polarity': 0.2792}, {'post_id': 173, 'timestamp': '2023-06-06 12:47:13+00:00', 'polarity': 0.2749}, {'post_id': 323, 'timestamp': '2023-06-06 12:48:00+00:00', 'polarity': 0.2792}]","[168, 173, 323]",3
sampathgummadi,"[{'post_id': 734, 'timestamp': '2023-05-12 05:06:04+00:00', 'polarity': 0.728}, {'post_id': 729, 'timestamp': '2023-05-12 05:06:16+00:00', 'polarity': 0.8857}, {'post_id': 773, 'timestamp': '2023-05-12 05:22:20+00:00', 'polarity': 0.8857}]","[734, 729, 773]",3
samybastianellireal,"[{'post_id': 824, 'timestamp': '2023-04-06 22:37:33+00:00', 'polarity': 0.97}, {'post_id': 825, 'timestamp': '2023-04-06 22:40:54+00:00', 'polarity': 0.97}, {'post_id': 625, 'timestamp': '2023-05-25 14:09:09+00:00', 'polarity': 0.9843}]","[824, 825, 625]",3
sanayuilll,"[{'post_id': 562, 'timestamp': '2023-06-06 10:25:40+00:00', 'polarity': -0.3598}, {'post_id': 641, 'timestamp': '2023-06-06 10:30:28+00:00', 'polarity': -0.0732}, {'post_id': 641, 'timestamp': '2023-06-06 10:31:27+00:00', 'polarity': 0.0418}]","[562, 641, 641]",3
sandraromero,"[{'post_id': 218, 'timestamp': '2023-05-19 21:09:53+00:00', 'polarity': 0.802}, {'post_id': 212, 'timestamp': '2023-05-22 19:39:05+00:00', 'polarity': 0.4865}, {'post_id': 278, 'timestamp': '2023-05-25 10:50:50+00:00', 'polarity': 0.4994}, {'post_id': 161, 'timestamp': '2023-06-01 20:19:57+00:00', 'polarity': 0.937}]","[218, 212, 278, 161]",4
saramaino_,"[{'post_id': 487, 'timestamp': '2023-05-20 04:39:51+00:00', 'polarity': 0.7804}, {'post_id': 398, 'timestamp': '2023-06-09 05:45:56+00:00', 'polarity': 0.7804}, {'post_id': 397, 'timestamp': '2023-06-09 05:46:09+00:00', 'polarity': 0.7804}]","[487, 398, 397]",3
schayres,"[{'post_id': 380, 'timestamp': '2023-03-23 08:35:05+00:00', 'polarity': 0.6034}, {'post_id': 380, 'timestamp': '2023-03-23 08:35:09+00:00', 'polarity': -0.0315}, {'post_id': 293, 'timestamp': '2023-04-22 12:13:51+00:00', 'polarity': 0.3532}, {'post_id': 290, 'timestamp': '2023-04-25 12:57:19+00:00', 'polarity': 0.3532}, {'post_id': 231, 'timestamp': '2023-05-18 22:56:55+00:00', 'polarity': 0.1229}, {'post_id': 60, 'timestamp': '2023-06-02 15:55:14+00:00', 'polarity': 0.0857}, {'post_id': 56, 'timestamp': '2023-06-05 13:51:52+00:00', 'polarity': 0.0074}]","[380, 380, 293, 290, 231, 60, 56]",7
selena_outfitx,"[{'post_id': 377, 'timestamp': '2023-05-17 02:43:27+00:00', 'polarity': 0.9257}, {'post_id': 377, 'timestamp': '2023-05-17 02:43:34+00:00', 'polarity': 0.7177}, {'post_id': 377, 'timestamp': '2023-05-17 02:43:34+00:00', 'polarity': 0.7177}, {'post_id': 377, 'timestamp': '2023-05-17 02:43:40+00:00', 'polarity': 0.9257}]","[377, 377, 377, 377]",4
shennigan_nyc,"[{'post_id': 572, 'timestamp': '2023-03-22 06:02:57+00:00', 'polarity': 0.2155}, {'post_id': 570, 'timestamp': '2023-03-29 04:44:34+00:00', 'polarity': 0.2107}, {'post_id': 567, 'timestamp': '2023-03-29 04:44:39+00:00', 'polarity': 0.2107}, {'post_id': 571, 'timestamp': '2023-04-03 18:37:00+00:00', 'polarity': 0.2134}, {'post_id': 561, 'timestamp': '2023-04-12 08:01:40+00:00', 'polarity': 0.2172}, {'post_id': 589, 'timestamp': '2023-04-19 02:17:13+00:00', 'polarity': 0.2117}, {'post_id': 714, 'timestamp': '2023-04-19 02:17:18+00:00', 'polarity': 0.2117}, {'post_id': 457, 'timestamp': '2023-04-24 20:54:13+00:00', 'polarity': 0.2373}, {'post_id': 746, 'timestamp': '2023-04-24 20:55:14+00:00', 'polarity': 0.2373}, {'post_id': 751, 'timestamp': '2023-04-25 19:51:22+00:00', 'polarity': 0.2273}, {'post_id': 460, 'timestamp': '2023-04-30 07:10:48+00:00', 'polarity': 0.2336}, {'post_id': 782, 'timestamp': '2023-04-30 07:11:17+00:00', 'polarity': 0.2336}, {'post_id': 687, 'timestamp': '2023-05-02 20:01:27+00:00', 'polarity': 0.223}, {'post_id': 679, 'timestamp': '2023-05-02 20:01:33+00:00', 'polarity': 0.223}, {'post_id': 741, 'timestamp': '2023-05-02 20:03:27+00:00', 'polarity': 0.223}, {'post_id': 685, 'timestamp': '2023-05-05 05:26:46+00:00', 'polarity': 0.223}, {'post_id': 694, 'timestamp': '2023-05-05 05:26:52+00:00', 'polarity': 0.223}, {'post_id': 494, 'timestamp': '2023-05-05 05:27:18+00:00', 'polarity': 0.223}, {'post_id': 521, 'timestamp': '2023-05-16 22:17:49+00:00', 'polarity': 0.2395}, {'post_id': 391, 'timestamp': '2023-05-18 02:30:32+00:00', 'polarity': 0.2189}, {'post_id': 454, 'timestamp': '2023-05-21 06:47:03+00:00', 'polarity': 0.1912}, {'post_id': 442, 'timestamp': '2023-05-25 20:02:21+00:00', 'polarity': 0.24}, {'post_id': 434, 'timestamp': '2023-06-01 18:10:13+00:00', 'polarity': 0.2088}, {'post_id': 437, 'timestamp': '2023-06-03 06:59:59+00:00', 'polarity': 0.215}]","[572, 570, 567, 571, 561, 589, 714, 457, 746, 751, 460, 782, 687, 679, 741, 685, 694, 494, 521, 391, 454, 442, 434, 437]",24
shopbebinca,"[{'post_id': 214, 'timestamp': '2023-05-05 04:27:35+00:00', 'polarity': 0.9501}, {'post_id': 207, 'timestamp': '2023-05-08 02:56:42+00:00', 'polarity': 0.929}, {'post_id': 181, 'timestamp': '2023-05-24 06:20:21+00:00', 'polarity': 0.97}, {'post_id': 154, 'timestamp': '2023-05-30 08:49:01+00:00', 'polarity': 0.929}]","[214, 207, 181, 154]",4
silje.alice,"[{'post_id': 267, 'timestamp': '2023-04-14 16:11:43+00:00', 'polarity': -0.0993}, {'post_id': 258, 'timestamp': '2023-04-21 19:35:53+00:00', 'polarity': 0.8991}, {'post_id': 207, 'timestamp': '2023-05-08 14:29:07+00:00', 'polarity': 0.7832}, {'post_id': 183, 'timestamp': '2023-05-15 16:30:57+00:00', 'polarity': 0.6249}, {'post_id': 218, 'timestamp': '2023-05-18 12:09:58+00:00', 'polarity': 0.8249}, {'post_id': 135, 'timestamp': '2023-05-23 16:54:42+00:00', 'polarity': 0.5304}, {'post_id': 134, 'timestamp': '2023-05-24 13:45:02+00:00', 'polarity': 0.9878}, {'post_id': 91, 'timestamp': '2023-05-26 15:34:43+00:00', 'polarity': 0.4976}, {'post_id': 129, 'timestamp': '2023-05-26 15:41:37+00:00', 'polarity': 0.0278}, {'post_id': 84, 'timestamp': '2023-05-27 16:47:28+00:00', 'polarity': 0.0681}, {'post_id': 154, 'timestamp': '2023-05-29 15:10:43+00:00', 'polarity': 0.548}]","[267, 258, 207, 183, 218, 135, 134, 91, 129, 84, 154]",11
simplysummerjenn,"[{'post_id': 95, 'timestamp': '2023-03-06 19:05:53+00:00', 'polarity': 0.9314}, {'post_id': 95, 'timestamp': '2023-03-06 19:07:16+00:00', 'polarity': 0.3426}, {'post_id': 89, 'timestamp': '2023-03-15 21:00:20+00:00', 'polarity': 0.9834}, {'post_id': 85, 'timestamp': '2023-03-22 18:23:54+00:00', 'polarity': 0.5882}, {'post_id': 28, 'timestamp': '2023-05-15 10:19:33+00:00', 'polarity': 0.9789}]","[95, 95, 89, 85, 28]",5
sinaurity,"[{'post_id': 441, 'timestamp': '2023-05-27 18:12:05+00:00', 'polarity': 0.2265}, {'post_id': 439, 'timestamp': '2023-05-27 18:22:51+00:00', 'polarity': 0.2265}, {'post_id': 520, 'timestamp': '2023-05-29 11:51:46+00:00', 'polarity': 0.3448}, {'post_id': 438, 'timestamp': '2023-05-29 11:52:36+00:00', 'polarity': 0.3448}, {'post_id': 433, 'timestamp': '2023-06-05 22:16:22+00:00', 'polarity': 0.2253}]","[441, 439, 520, 438, 433]",5
sociojenics,"[{'post_id': 33, 'timestamp': '2023-04-21 02:11:31+00:00', 'polarity': 0.9857}, {'post_id': 87, 'timestamp': '2023-04-28 03:53:47+00:00', 'polarity': 0.9068}, {'post_id': 35, 'timestamp': '2023-04-28 03:56:17+00:00', 'polarity': 0.1428}]","[33, 87, 35]",3
soheila_dgh_,"[{'post_id': 348, 'timestamp': '2023-01-03 16:12:27+00:00', 'polarity': 0.1033}, {'post_id': 157, 'timestamp': '2023-01-12 10:50:11+00:00', 'polarity': 0.9542}, {'post_id': 348, 'timestamp': '2023-01-12 16:50:41+00:00', 'polarity': 0.9635}, {'post_id': 260, 'timestamp': '2023-01-13 06:55:59+00:00', 'polarity': 0.9539}, {'post_id': 247, 'timestamp': '2023-01-13 12:52:03+00:00', 'polarity': 0.981}]","[348, 157, 348, 260, 247]",5
sonivaidu,"[{'post_id': 562, 'timestamp': '2023-06-01 15:36:01+00:00', 'polarity': -0.1013}, {'post_id': 562, 'timestamp': '2023-06-01 15:36:07+00:00', 'polarity': 0.6933}, {'post_id': 562, 'timestamp': '2023-06-01 15:36:16+00:00', 'polarity': -0.1208}]","[562, 562, 562]",3
sophiamoura29,"[{'post_id': 21, 'timestamp': '2023-06-06 02:00:18+00:00', 'polarity': 0.1601}, {'post_id': 24, 'timestamp': '2023-06-06 02:00:54+00:00', 'polarity': 0.9062}, {'post_id': 24, 'timestamp': '2023-06-06 02:01:02+00:00', 'polarity': 0.0467}, {'post_id': 24, 'timestamp': '2023-06-06 02:01:28+00:00', 'polarity': 0.5154}, {'post_id': 24, 'timestamp': '2023-06-06 02:01:34+00:00', 'polarity': 0.8118}, {'post_id': 24, 'timestamp': '2023-06-06 02:01:47+00:00', 'polarity': 0.8133}]","[21, 24, 24, 24, 24, 24]",6
sourcerie.co,"[{'post_id': 278, 'timestamp': '2023-05-22 08:36:59+00:00', 'polarity': 0.9757}, {'post_id': 272, 'timestamp': '2023-05-23 18:01:16+00:00', 'polarity': 0.8804}, {'post_id': 158, 'timestamp': '2023-05-31 08:20:28+00:00', 'polarity': 0.1798}]","[278, 272, 158]",3
soyturk_atila,"[{'post_id': 698, 'timestamp': '2023-05-05 15:38:55+00:00', 'polarity': -0.0665}, {'post_id': 638, 'timestamp': '2023-05-26 11:12:52+00:00', 'polarity': -0.0665}, {'post_id': 456, 'timestamp': '2023-06-04 09:56:39+00:00', 'polarity': -0.0665}]","[698, 638, 456]",3
