post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
83,rhyancaminske,2023-03-26 14:31:20+00:00,184,8,"['streetstyle', 'sunday', 'vibes', 'favorite', 'lounge', 'shop', 'loungebra', 'comfybra', 'aerie', 'aeriebra']"
84,josefinehj,2023-05-26 17:13:16+00:00,3913,16,"['small', 'things', 'found', 'beautiful', 'italy']"
85,rhyancaminske,2023-03-22 17:58:22+00:00,206,10,"['hair', 'healing', 'journey', 'mentioned', 'stories', 'damaged', 'months', 'even', 'difference']"
86,rhyancaminske,2023-03-20 17:04:46+00:00,149,6,"['spent', 'weekend', 'family', 'met', 'new']"
87,rhyancaminske,2023-04-15 20:52:27+00:00,86,10,"['dress', 'outfit', 'streetstyle', 'getting', 'ready', 'shop', 'shirts', 'night', 'last']"
88,josefinehj,2023-05-26 13:38:44+00:00,14227,64,['annonce']
89,rhyancaminske,2023-03-15 17:34:09+00:00,171,11,"['streetstyle', 'ahhh', 'another', 'nephew', 'max', 'shop', 'everydayoutfit', 'blue heart', 'murling', 'get']"
90,josefinehj,2023-05-25 17:56:16+00:00,13126,87,"['summer', 'basics', 'best', 'samsoesamsoe', 'white heart']"
91,josefinehj,2023-05-25 16:44:58+00:00,5421,33,[]
92,stephaniebroek,2023-04-11 18:43:52+00:00,1561,72,"['spring', 'last', 'wearing', 'cargo', 'pant']"
93,everyday.holly,2023-05-21 13:53:23+00:00,1528,404,"['dress', 'outfit', 'happy', 'sunday', 'last', '2', '1', '5', 'links', 'small']"
94,rhyancaminske,2023-03-13 17:07:15+00:00,180,15,"['streetstyle', 'march', 'busy', 'birthday', 'month', 'shop', 'us']"
95,rhyancaminske,2023-03-06 18:17:49+00:00,245,13,"['streetstyle', 'vacation', 'pics', 'round', '3', 'shop', 'timpano', 'tampa', 'carl', 'ever']"
96,rhyancaminske,2023-03-02 01:34:57+00:00,273,27,"['streetstyle', 'take', 'back', 'snow', 'dreadful', 'swimsuits', 'shop', 'colors', 'bikini', 'swimsuit']"
97,rhyancaminske,2023-02-27 17:01:02+00:00,304,14,"['streetstyle', 'prepared', 'week', 'full', 'beach', 'shop', 'first', 'flight', 'sunglasses']"
98,rhyancaminske,2023-02-16 19:01:43+00:00,191,10,"['valentine', 'week', 'daughter', 'running', 'around', 'shop', 'winteroutfit', 'coolweatheroutfit', 'springsweater', 'springsweaters']"
99,rhyancaminske,2023-02-19 20:13:25+00:00,155,17,"['streetstyle', 'counting', 'seconds', 'summer', 'excited', 'shop', 'levis', 'weekend', 'casualstyle']"
100,monikh,2023-06-04 09:55:28+00:00,2138,5,"['dress', 'christopher_esber']"
101,monikh,2023-06-04 18:41:01+00:00,5328,35,"['quick', 'rough', 'sewing', 'session', 'taking']"
102,monikh,2023-05-31 17:50:42+00:00,4396,57,"['bath', 'time', 'moans', 'followed', 'bedtime']"
103,monikh,2023-06-01 14:16:55+00:00,6738,50,"['lucy', 'hosts', 'reformation', 'lucywilliams02', 'pear']"
104,monikh,2023-05-31 11:51:41+00:00,7303,52,"['faves', 'one']"
105,stephaniebroek,2023-03-27 18:43:31+00:00,1671,47,"['museums', 'mondays', 'iykyk', 'linen', 'blazer']"
106,chiaraferragni,2023-05-17 08:10:07+00:00,843218,2824,"['guys', 'ready', 'ferragnez', 'season', '2']"
107,chiaraferragni,2023-06-06 16:44:50+00:00,315080,1113,"['brought', 'kids', 'see', 'new', 'house']"
108,chiaraferragni,2023-02-07 23:45:59+00:00,2172992,15515,"['dior', 'moda', 'la', 'gabbia', 'liberare', 'di', 'che', 'le', 'una', 'questo']"
109,chiaraferragni,2023-06-05 11:19:20+00:00,167978,755,"['little', 'twin']"
110,chiaraferragni,2023-06-06 09:43:05+00:00,326340,574,"['count', 'times', 'wore', 'chiaraferragnibrand', 'eyewear', 'adv']"
111,maryleest,2023-05-18 19:59:56+00:00,26650,121,"['cannesfilmfestival', 'cannes', 'festival', 'dress', 'jewelry', 'takes', 'village', 'gustave_durin', 'dress marmarhalim', 'jewelry hassanzadeh_jewelry']"
112,chiaraferragni,2023-06-05 07:32:24+00:00,145856,779,"['best', 'forte', 'dei', 'marmi', 'sparkling heart']"
113,chiaraferragni,2023-06-04 20:40:20+00:00,343186,1043,"['sunday', 'forte', 'dei', 'marmi', 'folded hands']"
114,gisele,2023-03-30 13:28:25+00:00,734590,5619,"['planting', 'trees', 'regenerating', 'springs', 'depleted', 'de', 'e', 'para', 'um', 'nature']"
115,fashionmuniz,2023-06-06 16:08:02+00:00,9,0,"['shirt', 'duas', 'cores', 'perfeitas', 'site']"
116,fashionmuniz,2023-06-06 13:37:34+00:00,11,0,"['moletom', 'joy', 'queridinho', 'momento', 'p']"
117,chiaraferragni,2023-06-04 12:27:16+00:00,391654,1040,"['best', 'days', 'forte', 'dei', 'marmi']"
